variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
DMDEDUC,1999-2000,DEMO,,,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographics,NA,NA
DMDEDUC,2001-2002,DEMO_B,,,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographics,NA,NA
DMDEDUC,2003-2004,DEMO_C,,,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,Demographics,Demographics,NA,NA
DMDEDUC2,1999-2000,DEMO,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2001-2002,DEMO_B,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2003-2004,DEMO_C,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2005-2006,DEMO_D,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2007-2008,DEMO_E,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2009-2010,DEMO_F,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2011-2012,DEMO_G,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2013-2014,DEMO_H,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2015-2016,DEMO_I,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC2,2017-2018,DEMO_J,,,Education level - Adults 20+,Demographics,Demographics,NA,NA
DMDEDUC3,1999-2000,DEMO,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2001-2002,DEMO_B,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2003-2004,DEMO_C,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2005-2006,DEMO_D,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2007-2008,DEMO_E,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2009-2010,DEMO_F,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2011-2012,DEMO_G,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2013-2014,DEMO_H,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2015-2016,DEMO_I,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDEDUC3,2017-2018,DEMO_J,,,Education level - Children/Youth 6-19,Demographics,Demographics,NA,NA
DMDFMSIZ,2005-2006,DEMO_D,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2007-2008,DEMO_E,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2009-2010,DEMO_F,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2011-2012,DEMO_G,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2013-2014,DEMO_H,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2015-2016,DEMO_I,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDFMSIZ,2017-2018,DEMO_J,,,Total number of people in the Family,Demographics,Demographics,NA,NA
DMDHHSIZ,1999-2000,DEMO,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2001-2002,DEMO_B,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2003-2004,DEMO_C,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2005-2006,DEMO_D,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2007-2008,DEMO_E,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2009-2010,DEMO_F,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2011-2012,DEMO_G,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2013-2014,DEMO_H,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2015-2016,DEMO_I,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSIZ,2017-2018,DEMO_J,,,Total number of people in the Household,Demographics,Demographics,NA,NA
DMDHHSZA,2011-2012,DEMO_G,,,Number of children aged 5 years or younger in the household,Demographics,Demographics,NA,NA
DMDHHSZA,2013-2014,DEMO_H,,,Number of children aged 5 years or younger in the household,Demographics,Demographics,NA,NA
DMDHHSZA,2015-2016,DEMO_I,,,Number of children aged 5 years or younger in the household,Demographics,Demographics,NA,NA
DMDHHSZA,2017-2018,DEMO_J,,,Number of children aged 5 years or younger in the household,Demographics,Demographics,NA,NA
DMDHHSZB,2011-2012,DEMO_G,,,Number of children aged 6-17 years old in the household,Demographics,Demographics,NA,NA
DMDHHSZB,2013-2014,DEMO_H,,,Number of children aged 6-17 years old in the household,Demographics,Demographics,NA,NA
DMDHHSZB,2015-2016,DEMO_I,,,Number of children aged 6-17 years old in the household,Demographics,Demographics,NA,NA
DMDHHSZB,2017-2018,DEMO_J,,,Number of children aged 6-17 years old in the household,Demographics,Demographics,NA,NA
DMDHHSZE,2011-2012,DEMO_G,,,Number of adults aged 60 years or older in the household,Demographics,Demographics,NA,NA
DMDHHSZE,2013-2014,DEMO_H,,,Number of adults aged 60 years or older in the household,Demographics,Demographics,NA,NA
DMDHHSZE,2015-2016,DEMO_I,,,Number of adults aged 60 years or older in the household,Demographics,Demographics,NA,NA
DMDHHSZE,2017-2018,DEMO_J,,,Number of adults aged 60 years or older in the household,Demographics,Demographics,NA,NA
DMDHRAGE,1999-2000,DEMO,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2001-2002,DEMO_B,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2003-2004,DEMO_C,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2005-2006,DEMO_D,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2007-2008,DEMO_E,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2009-2010,DEMO_F,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2011-2012,DEMO_G,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2013-2014,DEMO_H,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2015-2016,DEMO_I,,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRAGE,2017-2018,DEMO_J,DMDHRAGZ,,Age in years of the household reference person at the time of HH screening.,Demographics,Demographics,NA,NA
DMDHRBR4,1999-2000,DEMO,DMDHRBRN,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2001-2002,DEMO_B,DMDHRBRN,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2003-2004,DEMO_C,DMDHRBRN,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2005-2006,DEMO_D,DMDHRBRN,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2007-2008,DEMO_E,DMDHRBR2,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2009-2010,DEMO_F,DMDHRBR2,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2011-2012,DEMO_G,,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2013-2014,DEMO_H,,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHRBR4,2015-2016,DEMO_I,,,HH reference person's country of birth,Demographics,Demographics,NA,NA
DMDHREDU,1999-2000,DEMO,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2001-2002,DEMO_B,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2003-2004,DEMO_C,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2005-2006,DEMO_D,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2007-2008,DEMO_E,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2009-2010,DEMO_F,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2011-2012,DEMO_G,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2013-2014,DEMO_H,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2015-2016,DEMO_I,,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHREDU,2017-2018,DEMO_J,DMDHREDZ,,HH reference person's education level,Demographics,Demographics,NA,NA
DMDHRGND,1999-2000,DEMO,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2001-2002,DEMO_B,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2003-2004,DEMO_C,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2005-2006,DEMO_D,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2007-2008,DEMO_E,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2009-2010,DEMO_F,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2011-2012,DEMO_G,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2013-2014,DEMO_H,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2015-2016,DEMO_I,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRGND,2017-2018,DEMO_J,,,Gender of the household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,1999-2000,DEMO,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2001-2002,DEMO_B,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2003-2004,DEMO_C,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2005-2006,DEMO_D,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2007-2008,DEMO_E,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2009-2010,DEMO_F,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2011-2012,DEMO_G,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2013-2014,DEMO_H,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2015-2016,DEMO_I,,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHRMAR,2017-2018,DEMO_J,DMDHRMAZ,,Marital Status of household reference person,Demographics,Demographics,NA,NA
DMDHSEDU,1999-2000,DEMO,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2001-2002,DEMO_B,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2003-2004,DEMO_C,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2005-2006,DEMO_D,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2007-2008,DEMO_E,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2009-2010,DEMO_F,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2011-2012,DEMO_G,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2013-2014,DEMO_H,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2015-2016,DEMO_I,,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDHSEDU,2017-2018,DEMO_J,DMDHSEDZ,,HH reference person's spouse's education level,Demographics,Demographics,NA,NA
DMDMARTL,1999-2000,DEMO,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2001-2002,DEMO_B,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2003-2004,DEMO_C,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2005-2006,DEMO_D,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2007-2008,DEMO_E,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2009-2010,DEMO_F,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2011-2012,DEMO_G,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2013-2014,DEMO_H,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2015-2016,DEMO_I,,,Marital status,Demographics,Demographics,NA,NA
DMDMARTL,2017-2018,DEMO_J,,,Marital status,Demographics,Demographics,NA,NA
DMDSCHOL,1999-2000,DEMO,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDSCHOL,2001-2002,DEMO_B,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDSCHOL,2003-2004,DEMO_C,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDSCHOL,2005-2006,DEMO_D,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDSCHOL,2007-2008,DEMO_E,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDSCHOL,2009-2010,DEMO_F,,,{Are you/Is SP} now attending school?,Demographics,Demographics,NA,NA
DMDYRSUS,1999-2000,DEMO,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2001-2002,DEMO_B,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2003-2004,DEMO_C,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2005-2006,DEMO_D,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2007-2008,DEMO_E,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2009-2010,DEMO_F,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2011-2012,DEMO_G,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2013-2014,DEMO_H,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2015-2016,DEMO_I,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMDYRSUS,2017-2018,DEMO_J,,,Length of time the participant has been in the US.,Demographics,Demographics,NA,NA
DMQADFC,2011-2012,DEMO_G,,,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographics,NA,NA
DMQADFC,2013-2014,DEMO_H,,,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographics,NA,NA
DMQADFC,2015-2016,DEMO_I,,,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographics,NA,NA
DMQADFC,2017-2018,DEMO_J,,,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",Demographics,Demographics,NA,NA
DMQMILIZ,1999-2000,DEMO,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2001-2002,DEMO_B,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2003-2004,DEMO_C,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2005-2006,DEMO_D,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2007-2008,DEMO_E,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2009-2010,DEMO_F,DMQMILIT,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2011-2012,DEMO_G,,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2013-2014,DEMO_H,,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2015-2016,DEMO_I,,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
DMQMILIZ,2017-2018,DEMO_J,,,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",Demographics,Demographics,NA,NA
FIAINTRP,2003-2004,DEMO_C,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2005-2006,DEMO_D,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2007-2008,DEMO_E,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2009-2010,DEMO_F,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2011-2012,DEMO_G,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2013-2014,DEMO_H,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2015-2016,DEMO_I,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIAINTRP,2017-2018,DEMO_J,,,Was an interpreter used to conduct the Family interview?,Demographics,Demographics,NA,NA
FIALANG,2003-2004,DEMO_C,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2005-2006,DEMO_D,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2007-2008,DEMO_E,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2009-2010,DEMO_F,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2011-2012,DEMO_G,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2013-2014,DEMO_H,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2015-2016,DEMO_I,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIALANG,2017-2018,DEMO_J,,,Language of the Family Interview Instrument,Demographics,Demographics,NA,NA
FIAPROXY,2003-2004,DEMO_C,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2005-2006,DEMO_D,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2007-2008,DEMO_E,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2009-2010,DEMO_F,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2011-2012,DEMO_G,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2013-2014,DEMO_H,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2015-2016,DEMO_I,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
FIAPROXY,2017-2018,DEMO_J,,,Was a Proxy respondent used in conducting the Family Interview?,Demographics,Demographics,NA,NA
INDFMIN2,1999-2000,DEMO,INDFMINC,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2001-2002,DEMO_B,INDFMINC,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2003-2004,DEMO_C,INDFMINC,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2005-2006,DEMO_D,INDFMINC,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2007-2008,DEMO_E,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2009-2010,DEMO_F,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2011-2012,DEMO_G,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2013-2014,DEMO_H,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2015-2016,DEMO_I,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
INDFMIN2,2017-2018,DEMO_J,,,Total family income (reported as a range value in dollars),Demographics,Demographics,NA,NA
